Stations,Latitude,Longitude,Altitude,Country,City,Camera,Switch,Status,Last seen
FRNP02,50.996056,2.36659,12,France,CappellelaGrande,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRNP03,50.76274,1.60585,19.4,France,Wimereux,DMK 23G445,TL-SG2210P,Operational,29/01/2021 05:09
FRNP04,50.277947,3.987223,144.6,France,Maubeuge,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRNP05,50.2875323,2.765306,80.4,France,Arras,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRPA01,43.34369,5.436376,130,France,Marseille,DMK 23G445,TL-SG2210P,Operational,28/01/2021 06:17
FRPA02,43.491334,5.333919,184,France,AixEnProvence,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 18:11
FRPA03,43.93301,5.714722,558,France,OHP,DMK 23G445,TL-SG2210P,Operational,29/01/2021 17:20
FRPA04,44.389977,6.64228,1162,France,Barcelonette,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 18:54
FRPA05,43.751762,6.924434,1279,France,Caussols,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 06:18
FRPA06,43.095433,6.112921,240,France,Hyeres,BASLER 1300gm,T1500G-10PS,Operational,29/01/2021 17:15
FRPA07,43.96158343,4.75365827,80,France,Lesangles,BASLER 1300gm,TL-SG2210P,Operational,26/01/2021 06:23
FRPA08,43.642734,5.09818,88.6,France,SalondeProvence,DMK 23G445,TL-SG2210P,Operational,27/01/2021 18:45
FRPA09,-999.9,-999.9,-999.9,France,SaintVeran,None,TL-SG2210P,NotOperational,31/07/2020 12:00
FRPA10,-999.9,-999.9,-999.9,France,Pytheas,DMK 33GX273,TL-SG2210P,NotOperational,31/07/2020 12:00
FRPC01,46.565784,0.380783,130,France,Poitiers,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
FRPC02,45.649047,0.16437,100,France,Angouleme,DMK 23G445,TL-SG2210P,Operational,29/01/2021 05:02
FRPC03,45.639012,-1.048922,15,France,Royan,BASLER 1300gm,TL-SG2210P,Operational,17/01/2021 17:24
FRPC04,46.197592,-0.417403,58.6,France,Marigny,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
FRPI01,49.898579,2.298894,49,France,Amiens,DMK 23G445,TL-SG2210P,Operational,29/01/2021 19:38
FRPI02,49.401338,2.801346,47.5,France,Compiegnes,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRPI04,49.862943,3.293955,120,France,SaintQuentin,DMK 23G445,TL-SG2210P,NotOperational,31/07/2020 12:00
